id;gender;age;familysize;country;major;riasec.realistic;riasec.investigative;riasec.artistic;riasec.social;riasec.enterprising;riasec.conventional;tipi.openess;tipi.conscientiousness;tipi.extraversion;tipi.agreeableness;tipi.neuroticism
295;Male;31;2;US;Other;1.125;1.625;2.125;2.625;1.125;1.375;12;13;9;12;3
297;Female;25;2;US;Psychology;1.25;3.875;3.125;3.875;1.75;3.375;10;12;6;11;2
298;Male;20;6;US;Other;1;1.25;1.5;1.5;1.875;1;8;9;4;6;4
302;Female;23;7;US;Other;1.625;3.5;3.5;4;1.5;1.875;12;10;7;12;7
304;Male;19;3;US;Other;1.125;3.125;3.375;2.75;1.375;1;12;4;4;10;3
305;Male;25;4;US;Other;3.125;4.75;2.75;4.5;3.125;4.125;13;14;9;7;3
306;Female;49;7;US;Psychology;1;2.125;1.875;3.375;1.5;1;13;9;4;14;3
307;Female;27;3;US;Other;3.75;4;2.75;1.25;1.5;2.875;12;6;5;10;9
308;Female;62;4;US;Other;1.25;2.625;3.375;2.375;2.5;1.75;14;2;13;10;8
311;Male;21;3;US;Engineering;2.25;1.875;1.625;1.125;1.875;2.75;9;4;3;8;11
312;Female;16;3;US;Other;1;3.25;3;3.125;1.625;1;9;10;3;10;10
314;Female;34;2;US;Other;1.5;2.125;4;4.875;2.75;2.875;11;14;13;8;6
320;Male;28;3;US;Other;1.875;4;3.5;2;1;1.25;12;3;2;8;7
322;Male;43;2;US;Other;2.5;4.5;2;3.75;3.125;2.25;12;9;9;3;8
324;Female;39;3;US;Other;1;1.875;1.125;4;2.25;1.125;12;14;9;14;4
326;Female;30;4;US;Other;1.5;4;3;3.875;1.625;1.5;13;11;14;13;7
327;Female;41;2;US;Other;2.25;3.75;4;3;2.125;2.75;14;10;8;13;3
330;Female;21;3;US;Other;1;2.125;3.75;2.625;1.125;1;13;9;7;13;10
331;Female;19;3;US;Other;4.25;4.625;3.375;3;2.875;2.875;11;5;2;5;7
332;Female;18;3;US;Other;0.875;3.125;3.875;3;2.375;1;11;11;14;11;8
334;Female;32;5;US;Psychology;2.5;2.875;3.125;4.625;3.25;2.625;10;12;14;12;6
337;Female;19;3;US;Other;2;3.25;2;2.25;1.875;1.125;12;13;8;9;6
338;Male;29;4;US;Psychology;3.125;4;3.125;4;2.375;4.25;4;10;3;5;3
339;Female;48;3;US;Other;2.625;3.375;3.375;4.5;2.625;3.375;11;11;10;8;7
340;Male;20;2;US;Other;3.875;4.5;4.25;4.5;2.625;1.375;9;11;8;10;7
343;Male;49;2;US;Other;3.5;4;2.625;3.375;2.25;2.125;13;12;14;9;4
344;Male;49;5;US;Other;4.25;4.25;4.75;3.25;1.5;2.25;14;13;12;10;3
345;Female;28;2;US;Other;1;4.75;3.375;3.75;2.625;1.5;8;11;8;11;8
346;Female;19;2;US;Other;1.875;3.75;2.875;3.5;3.875;2.375;9;11;10;8;7
347;Female;23;3;US;Psychology;1.375;3.75;4;3.75;3.125;2.75;11;12;5;10;9
348;Female;56;5;US;Other;2.125;3.75;4.5;4.5;2.375;1;14;10;14;14;2
350;Female;18;3;US;Other;1;3.125;2.375;4;1.5;1.375;12;8;14;10;11
352;Male;20;2;US;Psychology;1.25;1.5;1.375;2.75;2.375;1.5;7;12;13;9;4
353;Male;63;3;US;Other;2;3.625;2.25;3.125;1.75;2.125;12;14;5;10;10
355;Female;20;2;US;Other;2.125;4.25;4.75;5;3.25;2.75;12;14;8;12;2
358;Female;56;6;US;Other;2.125;4.25;4;1.75;1.125;1.625;11;11;7;10;11
360;Male;20;8;US;Other;1.125;2.875;1;4.375;2;1.75;8;11;6;9;9
364;Female;19;3;US;Other;1.625;3.875;3.625;3.5;1.25;1.875;13;5;2;13;9
